차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
28994	정보서	情報書	명	3 	1 	0 	0 	0 	0 	3 	0 	0 	0 	0 
36133	정보원01	情報員	명	2 	2 	0 	0 	0 	0 	1 	1 	0 	0 	0 
36134	정보원02	情報源	명	2 	2 	0 	0 	1 	0 	1 	0 	0 	0 	0 
53253	정보원망	情報院網	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
53254	정보은행	情報銀行	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
36135	정보적	情報的	관	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 
53255	정보지	情報誌	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
36136	정보집	情報集	명	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
3886	정보화	情報化	명	51 	12 	2 	0 	10 	0 	38 	1 	0 	0 	0 
36137	정복01	正服	명	2 	2 	0 	0 	1 	1 	0 	0 	0 	0 	0 
5402	정복02	征服	명	34 	7 	1 	1 	30 	0 	2 	0 	0 	0 	0 
36138	정복당하다	征服當-	동	2 	2 	0 	1 	1 	0 	0 	0 	0 	0 	0 
28995	정복되다	征服-	동	3 	3 	0 	1 	2 	0 	0 	0 	0 	0 	0 
36139	정복민	征服民	명	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 
53256	정복자	征服者	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53257	정복적	征服的	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53258	정복지	征服地	명	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 
9771	정복하다	征服-	동	16 	10 	1 	5 	9 	0 	0 	1 	0 	0 	0 
53259	정부04	正否	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
136	정부08	政府	명	1,249 	77 	5 	23 	118 	24 	884 	179 	0 	6 	10 
53260	정부11	情夫	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
36140	정부12	情婦	명	2 	2 	0 	0 	0 	1 	0 	1 	0 	0 	0 
24677	정부관	政府館	명	4 	2 	0 	0 	0 	0 	1 	3 	0 	0 	0 
24678	정부군	政府軍	명	4 	2 	0 	0 	2 	0 	2 	0 	0 	0 	0 
53261	정부당	政府黨	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
21706	정부미	政府米	명	5 	2 	0 	0 	3 	0 	2 	0 	0 	0 	0 
24679	정부안	政府案	명	4 	2 	0 	0 	1 	0 	0 	3 	0 	0 	0 
53262	정부통령	正副統領	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53263	정붙이다	情-	동	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
3328	정비05	整備	명	61 	22 	0 	10 	16 	9 	21 	5 	0 	0 	0 
53264	정비계	整備係	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
14830	정비되다	整備-	동	9 	6 	0 	0 	4 	0 	5 	0 	0 	0 	0 
28996	정비사	整備士	명	3 	1 	0 	3 	0 	0 	0 	0 	0 	0 	0 
36141	정비소	整備所	명	2 	2 	0 	2 	0 	0 	0 	0 	0 	0 	0 
53265	정비업체	整備業體	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
28997	정비창	整備廠	명	3 	1 	0 	0 	0 	0 	3 	0 	0 	0 	0 
53266	정비창장	整備倉長	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
8538	정비하다	整備-	동	19 	10 	0 	5 	8 	2 	4 	0 	0 	0 	0 
36142	정사10	政事	명	2 	2 	1 	0 	1 	0 	0 	0 	0 	0 	0 
53267	정사17	情死	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
28998	정사19	情事	명	3 	3 	0 	0 	0 	1 	1 	1 	0 	0 	0 
53268	정사27	靜思	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53269	정사80	正思	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53270	정사각형	正四角形	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53271	정산하다02	精算-	동	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
4939	정상02	正常	명	38 	21 	1 	2 	9 	7 	15 	2 	0 	0 	2 
24680	정상08	情狀	명	4 	4 	0 	0 	1 	0 	3 	0 	0 	0 	0 
1931	정상11	頂上	명	114 	38 	1 	6 	15 	1 	71 	17 	0 	0 	3 
19390	정상급	頂上級	명	6 	5 	0 	0 	2 	0 	1 	3 	0 	0 	0 
53272	정상배	政商輩	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
